Source	Source primary accession	Source secondary accession	Target	Target primary accession	Target secondary accession
snOPYdb	Caenorhabditis_elegans300046	F56C9.12	sequence	LN809512	
snOPYdb	Caenorhabditis_elegans300047	C07A9.14	sequence	LN809477	
snOPYdb	Caenorhabditis_elegans300048	F53G12.12	sequence	LN809509	
snOPYdb	Caenorhabditis_elegans300049	Y37E3.22	sequence	LN809547	
snOPYdb	Caenorhabditis_elegans300050	Y37E3.21	sequence	LN809546	
snOPYdb	Caenorhabditis_elegans300051	Y37E3.20	sequence	LN809545	
snOPYdb	Caenorhabditis_elegans300052	Y71F9AM.7	sequence	LN809554	
snOPYdb	Caenorhabditis_elegans300053	E01A2.9	sequence	LN809498	
snOPYdb	Caenorhabditis_elegans300054	R12E2.17	sequence	LN809529	
snOPYdb	Caenorhabditis_elegans300056	B0041.9	sequence	LN809470	
snOPYdb	Caenorhabditis_elegans300058	T08B2.13	sequence	LN809537	
snOPYdb	Caenorhabditis_elegans300059	F22D6.16	sequence	LN809503	
snOPYdb	Caenorhabditis_elegans300063	ZK546.18	sequence	LN809558	
snOPYdb	Caenorhabditis_elegans300064	T24H7.6	sequence	LN809539	
snOPYdb	Caenorhabditis_elegans300065	F54C9.12	sequence	LN809510	
snOPYdb	Caenorhabditis_elegans300066	F28C6.11	sequence	LN809504	
snOPYdb	Caenorhabditis_elegans300070	M106.6	sequence	LN809528	
snOPYdb	Caenorhabditis_elegans300071	T06D8.11	sequence	LN809536	
snOPYdb	Caenorhabditis_elegans300072	Y62F5A.11	sequence	LN809552	
snOPYdb	Caenorhabditis_elegans300074	K12D12.7	sequence	LN809526	
snOPYdb	Caenorhabditis_elegans300075	K12D12.8	sequence	LN809527	
snOPYdb	Caenorhabditis_elegans300077	F01D5.12	sequence	LN809499	
snOPYdb	Caenorhabditis_elegans300078	F19H8.6	sequence	LN809502	
snOPYdb	Caenorhabditis_elegans300079	B0412.6	sequence	LN809474	
snOPYdb	Caenorhabditis_elegans300080	B0412.7	sequence	LN809475	
snOPYdb	Caenorhabditis_elegans300081	Y71D11A.7	sequence	LN809553	
snOPYdb	Caenorhabditis_elegans300083	H06I04.8	sequence	LN809513	
snOPYdb	Caenorhabditis_elegans300084	B0393.10	sequence	LN809473	
snOPYdb	Caenorhabditis_elegans300087	C16A3.11	sequence	LN809482	
snOPYdb	Caenorhabditis_elegans300088	R151.11	sequence	LN809530	
snOPYdb	Caenorhabditis_elegans300089	R151.12	sequence	LN809531	
snOPYdb	Caenorhabditis_elegans300090	R151.13	sequence	LN809532	
snOPYdb	Caenorhabditis_elegans300091	C07H6.10	sequence	LN809478	
snOPYdb	Caenorhabditis_elegans300093	C50C3.13	sequence	LN809490	
snOPYdb	Caenorhabditis_elegans300094	C50C3.14	sequence	LN809491	
snOPYdb	Caenorhabditis_elegans300098	K08E3.11	sequence	LN809522	
snOPYdb	Caenorhabditis_elegans300099	K11H12.12	sequence	LN809524	
snOPYdb	Caenorhabditis_elegans300100	K11H12.13	sequence	LN809525	
snOPYdb	Caenorhabditis_elegans300106	D1046.6	sequence	LN809496	
snOPYdb	Caenorhabditis_elegans300107	F38E11.14	sequence	LN809508	
snOPYdb	Caenorhabditis_elegans300109	C10C6.8	sequence	LN809480	
snOPYdb	Caenorhabditis_elegans300111	F28D1.13	sequence	LN809505	
snOPYdb	Caenorhabditis_elegans300112	JC8.15	sequence	LN809515	
snOPYdb	Caenorhabditis_elegans300113	Y116A8C.50	sequence	LN809544	
snOPYdb	Caenorhabditis_elegans300114	K11C4.6	sequence	LN809523	
snOPYdb	Caenorhabditis_elegans300117	C16D9.11	sequence	LN809484	
snOPYdb	Caenorhabditis_elegans300118	C08D8.3	sequence	LN809479	
