HG519607	Enter_faeci_35667
HG519608	Enter_faeci_35667
HG519609	Enter_faeci_35667
HG519610	Enter_hirae_9790
HG519611	Enter_hirae_9790
HG519612	Enter_hirae_9790
HG519613	Enter_hirae_9790
HG519614	Enter_hirae_9790
HG519615	Enter_hirae_9790
HG519616	Tetra_halop_NBR121
HG519617	Bacil_liche_14580
HG519618	Bacil_liche_14580
HG519619	Bacil_liche_14580
HG519620	Bacil_coagu_36D1
HG519621	Bacil_coagu_26
HG519622	Ocean_iheye_HTE831
HG519623	Bacil_cereu_E33L
HG519624	Bacil_cereu_E33L
HG519625	Bacil_cereu_E33L
